"Name","Total Time","Total Time (CPU)","Hits"
"                                           chs.caplets.logic.actions.CreateParameterizedObjectAction.createDisplayObject ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                            chs.caplets.logic.actions.CreateDeviceAction.createParamObject ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                             chs.caplets.logic.actions.CreateDeviceAction.createSchemDevice ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                              chs.caplets.logic.actions.CreateParameterizedObjectAction.createSchemPinList ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                               chs.caplets.logic.actions.CreateParameterizedObjectAction.createSchemPinList ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                chs.cofUtils.parameterized.Generator.generateDevice ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                 chs.cofUtils.parameterized.Generator.generateDevice ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                  chs.cof.logical.schem.PinList.forceApplyStyle ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                   chs.utility.preferences.styler.AbstractStyler.forceApplyStyle ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                    chs.utility.preferences.styler.AbstractStyler.updateStyleGraphics ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                     chs.utility.preferences.styler.AbstractStyler.updateStyleGraphics ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                      chs.utility.preferences.styler.AbstractStyler.applyGraphicsStyle ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                       chs.utility.preferences.styler.AbstractStyler.applyGraphicsStyle ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                        chs.cof.logical.styler.PinListStyler.getGfxAttributeToApply ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                         chs.utility.preferences.styler.AbstractStyler.getGfxAttributeToApply ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                          chs.common.styles.GraphicsStyle.getGfxAttribute ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                           chs.common.styles.GraphicsStyle.updateGfxAttribute ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                            chs.common.styles.GraphicsStyle.updateGfxAttributeFromColorData ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                             chs.common.styles.GraphicsStyle.getColorSourceType ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                              java.lang.ClassLoader.loadClass ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                               java.lang.ClassLoader.loadClass ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                                MGClassLoader.findClass ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                                 MGClassLoader$JARReference.getClass ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                                  MGClassLoader.access$000 ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
"                                                                   java.lang.ClassLoader.defineClass ()","99.7 ms (-0%)","99.7 ms (-0%)","1"
